"cell","n_records","y","toc_median","mask","n_sites","y_sd","x_lon","y_lat"
1391,1,0.0374264979406237,1.08,"deep",1,NA,-40.9500013887427,89.9499984745451
2119,1,-0.0555173278498314,0.87,"deep",1,NA,31.8500010801332,89.9499984745451
36431,2,0.110589710299249,1.28,"deep",1,NA,-136.950004644403,88.949998491504
37891,1,-0.130768280269024,0.73,"deep",1,NA,9.05000030691383,88.949998491504
39517,1,-0.1249387366083,0.74,"deep",1,NA,171.650005821189,88.949998491504
39969,2,-0.130768280269024,0.73,"deep",1,NA,-143.150004854665,88.8499984931999
39999,2,0.0681858617461616,1.16,"deep",1,NA,-140.150004752925,88.8499984931999
46270,77,-0.265593224205457,0.56,"deep",1,NA,126.950004305272,88.7499984948958
46446,1,-0.42021640338319,0.37,"deep",1,NA,144.550004902143,88.7499984948958
47986,2,-0.319703293217376,0.485,"deep",2,NA,-61.4500020839619,88.6499984965917
53600,1,-0.229147988357856,0.58,"deep",1,NA,139.950004746143,88.5499984982876
55320,1,-0.00436480540245009,0.98,"deep",1,NA,-48.0500016295259,88.4499984999835
63099,2,-0.174118776309945,0.66,"deep",1,NA,9.85000033404432,88.2499985033752
68723,1,-1.52287874528034,0.02,"deep",1,NA,-147.750005010665,88.049998506767
71549,1,-0.200659450546418,0.62,"deep",1,NA,134.850004573186,88.049998506767
71550,45,-0.522282332864543,0.29,"deep",2,NA,134.950004576577,88.049998506767
71792,45,-0.513435667806799,0.33,"deep",1,NA,159.150005397275,88.049998506767
78762,1,-0.408935392973501,0.38,"deep",1,NA,136.150004617273,87.8499985101588
82088,64,-0.096878303876885,0.795,"deep",1,NA,108.750003688053,87.7499985118547
82381,19,-0.44136210320204,0.36,"deep",1,NA,138.050004681708,87.7499985118547
86082,13,-0.426297671269824,0.4,"deep",1,NA,148.15000502423,87.6499985135506
86083,1,-0.552841968657781,0.27,"deep",1,NA,148.250005027622,87.6499985135506
86089,1,-0.619788758288394,0.23,"deep",1,NA,148.850005047969,87.6499985135506
86167,1,-0.387216143280264,0.4,"deep",1,NA,156.650005312492,87.6499985135506
88315,1,-0.130768280269024,0.73,"deep",1,NA,11.4500003883053,87.5499985152465
88760,1,-0.275724130399211,0.52,"deep",1,NA,55.9500018974396,87.5499985152465
88808,21,-0.338883727416969,0.44,"deep",1,NA,60.7500020602227,87.5499985152465
88809,1,-0.161150909262745,0.68,"deep",1,NA,60.850002063614,87.5499985152465
88890,50,-0.235011575179439,0.595,"deep",1,NA,68.9500023383103,87.5499985152465
89236,18,-0.233898723242598,0.575,"deep",1,NA,103.550003511705,87.5499985152465
89642,32,-0.61730724710133,0.235,"deep",1,NA,144.150004888578,87.5499985152465
89712,13,-0.837148936362402,0.13,"deep",1,NA,151.15000512597,87.5499985152465
89731,12,-0.668852075975049,0.195,"deep",1,NA,153.050005190405,87.5499985152465
92706,78,-0.091811626256568,0.895,"deep",1,NA,90.5500030708339,87.4499985169424
92717,1,-0.136677139879544,0.72,"deep",1,NA,91.6500031081384,87.4499985169424
99684,1,-0.154901959985743,0.69,"deep",1,NA,68.3500023179625,87.2499985203341
100993,2,-0.221848749616356,0.59,"deep",1,NA,-160.750005451536,87.14999852203
107648,1,-0.568636235841013,0.26,"deep",1,NA,144.750004908926,87.0499985237259
110391,1,-0.301029995663981,0.49,"deep",1,NA,59.0500020025704,86.9499985254218
113997,1,-0.244125144327509,0.56,"deep",1,NA,59.6500020229182,86.8499985271177
120152,1,-0.0555173278498314,0.87,"deep",1,NA,-44.8500015210039,86.6499985305095
124275,1,-0.275724130399211,0.52,"deep",1,NA,7.45000025265281,86.5499985322054
128400,16,-0.462461464630195,0.325,"deep",1,NA,59.9500020330921,86.4499985339013
131992,1,-0.468521082957745,0.33,"deep",1,NA,59.1500020059617,86.3499985355972
131993,1,-0.508638306165727,0.3,"deep",1,NA,59.250002009353,86.3499985355972
135097,2,-0.207608310501746,0.61,"deep",2,NA,9.65000032726169,86.2499985372931
135593,18,-0.426275681365042,0.345,"deep",2,NA,59.250002009353,86.2499985372931
