"variable","PC1","PC2","weight","variance_pct"
"sbs_mean",-0.0381898062886344,-0.024775292991581,0.035007175604282,47
"o2b_mean",0.117160545512832,0.434626478971537,0.0632609861268801,19
"tri",-0.0905618914504389,-0.0599313950048613,0.0302629196619722,NA
"depth",-0.586285290730202,0.184823526716233,0.0609465378301601,NA
"dist_coast_km",-0.232360927961194,0.0355385219702043,0.0263231801220074,NA
"sss_mean",-0.0832842353212186,-0.0710052661550633,0.0448245473304763,NA
"sbt_mean",0.195851302553915,-0.275926511226429,0.0506973790173763,NA
"chl_mean",0.139900657941416,0.193696485634441,0.0307720794305703,NA
"phyc_bot",0.283081642000384,-0.0584032506948556,0.0657855840347333,NA
"sws_bot",0.0316735361354125,-0.00295541436546637,0.0127793839336971,NA
"sst_mean",-0.184454829806911,-0.711562232801173,0.0485019674571849,NA
"poc_surf",0.356567358874401,0.220132937192299,0.0527703615318263,NA
"poc_flux",0.29490106302063,0.0235021001418387,0.0389945363090787,NA
"river_poc",0.230081361668798,-0.181921703607093,0.0341770989560449,NA
"river_tss",0.23806995590427,-0.208906631316748,0.035402041181696,NA
"sed_thick",0.133798866681578,0.0214634199807126,0.0211527241182652,NA
"litho_gs",0.23126347348543,-0.125061805415375,0.0515310780264943,NA
"litho_t1",-0.00196445591678272,-0.00382458797186471,0.00561410519045341,NA
"litho_t2",0.0611016518145958,-0.0337977760706704,0.0226222060806006,NA
"litho_t3",-0.00311052685708788,-0.000320830832391884,0.00103947918579777,NA
"litho_t4",-0.00311600880974326,-0.000553161565108472,0.000511029403007688,NA
"litho_t5",-1.68145084330656e-05,0.00535792753819921,0.00230228121024277,NA
"litho_t6",3.03588630643199e-06,-7.43590513706186e-06,1.32886721575385e-05,NA
