"n_sites","novelty","uncertainty","random_mean","random_min","random_max"
0,0.305131002178463,0.305131002178463,0.305131002178463,0.305131002178463,0.305131002178463
1,0.303480422190108,0.30512788149029,0.30498787553133,0.304072294576044,0.305128411983902
2,0.302057181456474,0.305118987835479,0.304907805061574,0.304059548470198,0.305112653625468
3,0.301277555153947,0.305107640580604,0.304816048573117,0.303038613754484,0.30508909216217
4,0.300451577342417,0.305069343546995,0.304761578895667,0.302983057933389,0.305056026552306
5,0.299680764612876,0.305064896431535,0.304705803848904,0.302938577478917,0.305036976473516
6,0.299125519118044,0.30478260065898,0.304603292151934,0.302902034888533,0.305022586797153
7,0.298584447760238,0.304703751259587,0.304431681165908,0.302866735774611,0.304972865099671
8,0.29810461448705,0.304567154627386,0.304311348644289,0.302851560564916,0.304938643082342
9,0.297611504772839,0.30438745399843,0.304282277362804,0.302825879639618,0.304900481102567
10,0.297164477135228,0.304277965320199,0.304188433853729,0.302775119354137,0.304828322135683
11,0.296736439491736,0.30417539026204,0.303944915116207,0.302616953260817,0.304751149145647
12,0.296283876370745,0.304146034148301,0.303883127726633,0.302565388142018,0.304706195863237
13,0.295862142641756,0.304029873337745,0.303739458291139,0.302500641409895,0.304690627720709
14,0.295457753160064,0.303790784966193,0.303547126125236,0.302489350424817,0.304667683433315
15,0.295070560408064,0.303768338830987,0.30333021398455,0.301721068577935,0.304620289185188
16,0.294727362130409,0.303759540476815,0.303237200041106,0.301705259423787,0.304519374762459
17,0.29439125775305,0.303718451856166,0.303142939615921,0.301695480856832,0.304432261124951
18,0.294042575582797,0.303652277679776,0.302980738994835,0.301189171293501,0.304190779072519
19,0.293716402994615,0.303496593432551,0.302889095680685,0.301175166463561,0.304062978585257
20,0.29338738354784,0.303323675208814,0.302784704328016,0.301098321203242,0.304047373194693
21,0.293069409427256,0.303308684488953,0.302638291482537,0.30107520365691,0.304017853982263
22,0.29275270456164,0.303245179695897,0.30252564233526,0.301039044237441,0.303854921310243
23,0.292422000637551,0.303166047290361,0.302321981824309,0.300472190841618,0.303814662490143
24,0.292116857797455,0.303144525908964,0.302245651208663,0.30041474998182,0.303811153985667
25,0.291769027071809,0.303114314502241,0.302126937409033,0.300379730740618,0.303654433395564
26,0.291467609565276,0.303072699566018,0.302049927830281,0.300371836335542,0.303644627880487
27,0.291190293440102,0.302997008807846,0.301979324352781,0.300245072990118,0.303603743000307
28,0.290922297804555,0.302970284780287,0.301800105828976,0.300154349009192,0.303524672817887
29,0.290648002694762,0.302810375698407,0.301635678912779,0.300091787332474,0.303489138967613
30,0.290404029820724,0.302775247160317,0.301543483881328,0.299937005332282,0.303462361298982
31,0.290156692424278,0.302767288944401,0.301477269428945,0.29989605060483,0.303334335251893
32,0.289913563447579,0.302707834464587,0.301399727735195,0.299831312281684,0.303257343296543
33,0.289680019513122,0.302560043571871,0.301314149267112,0.299757168918471,0.303124556843879
34,0.289446563043351,0.302544918209658,0.301249984366747,0.299658846051586,0.303110954481413
35,0.289216909929089,0.302516732723099,0.301212112062512,0.299641771680289,0.303078188090402
36,0.288999344498213,0.302451278608599,0.301128927687019,0.299558728955989,0.303070786834048
37,0.288783821278536,0.302348537506727,0.301050897518992,0.299493839403974,0.303060566774648
38,0.288571664976156,0.302301386203607,0.300983165987429,0.299452578454162,0.303032439077881
39,0.288357342472281,0.302169321918469,0.300857931831144,0.299366049064759,0.302994992605852
40,0.288145899798947,0.302157424916007,0.300796287784671,0.299286327922039,0.302962028254288
41,0.287937579331657,0.302135479943446,0.300735710199856,0.299025402632624,0.302939438389778
42,0.287726662510301,0.302087486328386,0.300654212601341,0.298999719970031,0.302932779005697
43,0.287519562135291,0.302049227709934,0.300532357271926,0.298926839308555,0.302917628858657
44,0.287311683166387,0.302026893054921,0.300480583274654,0.298907976122852,0.302885786048762
45,0.287110268251456,0.302004488311633,0.300405325568973,0.298853007451962,0.302766510744218
46,0.286910504737215,0.301985837601339,0.300341470213819,0.298844362335077,0.302754011150386
47,0.286698352876545,0.301886009905644,0.300254095145455,0.298385093122269,0.302739347882326
48,0.286498666476111,0.301877727437058,0.30019731446813,0.298362377180318,0.302639452168605
49,0.286292598650313,0.301869300438946,0.300084755511475,0.298236187861828,0.302297786745872
50,0.286097077777762,0.301847800769076,0.299989855882007,0.298183802095623,0.302233053661826
