"rank","lon","lat","depth_m","toc_predicted_pct","DInorm_initial","DInorm_at_selection","gain","expected_RMSE_calibrated","distance_nearest_observation_km","inside_AOA","region","path","decision","collection","flag_region_needs_new_drivers","flag_outside_region_support"
1,-108.15,-38.75,3412,0.366,0.582,0.582,32.81,0.377,1712,TRUE,"1 S Atlantic-Scotia","1 collect data and load into the global model","collect data and load into the global model (L3)","directed: model uncertainty",FALSE,TRUE
2,-137.15,-42.15,5072,0.365,0.45,0.45,30.63,0.356,2173,TRUE,"1 S Atlantic-Scotia","1 collect data and load into the global model","collect data and load into the global model (L3)","directed: model uncertainty",FALSE,TRUE
3,-157.05,-36.25,5296,0.351,0.453,0.453,17.24,0.348,1384,TRUE,"1 S Atlantic-Scotia","1 collect data and load into the global model","collect data and load into the global model (L3)","directed: model uncertainty",FALSE,TRUE
4,-99.45,-46.25,4087,0.267,0.403,0.403,17.08,0.369,1457,TRUE,"1 S Atlantic-Scotia","1 collect data and load into the global model","collect data and load into the global model (L3)","directed: model uncertainty",FALSE,TRUE
5,-151.05,-26.65,4612,0.226,0.326,0.326,15.38,0.365,1479,TRUE,"7 NE Pacific","3 new drivers or finer resolution","new drivers or finer resolution (L2/L4)","directed: environmental space",TRUE,TRUE
6,-24.85,-17.35,5405,0.304,0.389,0.389,12.83,0.346,485,TRUE,"4 Angola-Benguela","1 collect data and load into the global model","collect data and load into the global model (L3)","directed: model uncertainty",FALSE,FALSE
7,-99.95,-33.75,3487,0.288,0.401,0.401,11.64,0.356,852,TRUE,"1 S Atlantic-Scotia","1 collect data and load into the global model","collect data and load into the global model (L3)","directed: model uncertainty",FALSE,FALSE
8,-131.85,-25.15,3915,0.183,0.347,0.347,10.58,0.388,1188,TRUE,"7 NE Pacific","3 new drivers or finer resolution","new drivers or finer resolution (L2/L4)","directed: environmental space",TRUE,TRUE
9,-92.85,-60.55,4972,0.302,0.323,0.323,10.34,0.33,991,TRUE,"1 S Atlantic-Scotia","1 collect data and load into the global model","collect data and load into the global model (L3)","directed: model uncertainty",FALSE,FALSE
10,-85.85,-37.45,3897,0.35,0.463,0.433,10.25,0.348,816,TRUE,"1 S Atlantic-Scotia","1 collect data and load into the global model","collect data and load into the global model (L3)","directed: model uncertainty",FALSE,FALSE
11,-110.25,-49.55,3292,0.302,0.406,0.406,9.568,0.351,693,TRUE,"1 S Atlantic-Scotia","1 collect data and load into the global model","collect data and load into the global model (L3)","directed: model uncertainty",FALSE,FALSE
12,-21.15,-66.05,4951,0.39,0.458,0.458,9.549,0.333,520,TRUE,"1 S Atlantic-Scotia","1 collect data and load into the global model","collect data and load into the global model (L3)","directed: model uncertainty",FALSE,FALSE
13,-166.55,-26.15,5595,0.38,0.29,0.29,9.231,0.297,1148,TRUE,"7 NE Pacific","3 new drivers or finer resolution","new drivers or finer resolution (L2/L4)","directed: environmental space",TRUE,TRUE
14,134.95,-41.75,5083,0.36,0.305,0.305,8.656,0.306,553,TRUE,"1 S Atlantic-Scotia","1 collect data and load into the global model","collect data and load into the global model (L3)","directed: model uncertainty",FALSE,FALSE
15,106.75,-15.25,5746,0.396,0.332,0.332,8.543,0.302,702,TRUE,"8 W Pacific","2 regionalize the model","regionalize the model (L2)","directed: model uncertainty",FALSE,FALSE
16,-128.15,-42.15,4589,0.325,0.486,0.409,7.923,0.371,1742,TRUE,"1 S Atlantic-Scotia","1 collect data and load into the global model","collect data and load into the global model (L3)","directed: model uncertainty",FALSE,TRUE
17,-79.85,-24.05,4320,0.369,0.352,0.352,7.719,0.313,342,TRUE,"1 S Atlantic-Scotia","1 collect data and load into the global model","collect data and load into the global model (L3)","directed: model uncertainty",FALSE,FALSE
18,-148.45,-46.45,4941,0.373,0.38,0.245,7.646,0.327,1683,TRUE,"1 S Atlantic-Scotia","1 collect data and load into the global model","collect data and load into the global model (L3)","directed: model uncertainty",FALSE,TRUE
19,-17.45,-67.75,4898,0.338,0.491,0.491,7.505,0.356,313,TRUE,"1 S Atlantic-Scotia","1 collect data and load into the global model","collect data and load into the global model (L3)","directed: model uncertainty",FALSE,FALSE
20,134.55,-59.45,4464,0.306,0.355,0.355,7.386,0.337,610,TRUE,"1 S Atlantic-Scotia","1 collect data and load into the global model","collect data and load into the global model (L3)","directed: model uncertainty",FALSE,FALSE
