"rank","lon","lat","depth_m","toc_predicted_pct","DInorm_initial","DInorm_at_selection","gain","expected_RMSE_calibrated","distance_nearest_observation_km","inside_AOA","region","path","decision","collection","flag_region_needs_new_drivers","flag_outside_region_support"
1,-171.85,0.05,5656,0.202,0.081,0.081,NA,0.279,65,TRUE,"7 NE Pacific","3 new drivers or finer resolution","new drivers or finer resolution (L2/L4)","directed: environmental space",TRUE,FALSE
2,-123.25,3.05,4591,0.664,0.11,0.11,NA,0.21,154,TRUE,"7 NE Pacific","3 new drivers or finer resolution","new drivers or finer resolution (L2/L4)","directed: environmental space",TRUE,FALSE
3,-126.95,4.15,4403,0.462,0.118,0.118,NA,0.23,170,TRUE,"7 NE Pacific","3 new drivers or finer resolution","new drivers or finer resolution (L2/L4)","directed: environmental space",TRUE,FALSE
4,-175.25,0.55,5401,0.392,0.108,0.108,NA,0.247,300,TRUE,"7 NE Pacific","3 new drivers or finer resolution","new drivers or finer resolution (L2/L4)","directed: environmental space",TRUE,FALSE
5,126.95,24.95,1867,0.26,0.211,0.211,NA,0.29,22,TRUE,"8 W Pacific","2 regionalize the model","regionalize the model (L2)","directed: model uncertainty",FALSE,FALSE
6,-96.05,-25.45,3462,0.2,0.307,0.307,NA,0.365,371,TRUE,"1 S Atlantic-Scotia","1 collect data and load into the global model","collect data and load into the global model (L3)","directed: model uncertainty",FALSE,FALSE
7,-99.55,-26.75,3570,0.246,0.325,0.325,NA,0.352,584,TRUE,"1 S Atlantic-Scotia","1 collect data and load into the global model","collect data and load into the global model (L3)","directed: model uncertainty",FALSE,FALSE
8,-98.85,-30.05,3597,0.257,0.347,0.347,NA,0.354,530,TRUE,"1 S Atlantic-Scotia","1 collect data and load into the global model","collect data and load into the global model (L3)","directed: model uncertainty",FALSE,FALSE
9,-102.55,-28.85,3122,0.232,0.317,0.317,NA,0.355,854,TRUE,"1 S Atlantic-Scotia","1 collect data and load into the global model","collect data and load into the global model (L3)","directed: model uncertainty",FALSE,FALSE
10,-127.05,-24.15,2715,0.224,0.507,0.507,NA,0.412,764,TRUE,"7 NE Pacific","3 new drivers or finer resolution","new drivers or finer resolution (L2/L4)","directed: environmental space",TRUE,FALSE
11,-107.15,-25.45,3534,0.126,0.317,0.317,NA,0.407,489,TRUE,"1 S Atlantic-Scotia","1 collect data and load into the global model","collect data and load into the global model (L3)","directed: model uncertainty",FALSE,FALSE
12,-99.15,-23.95,3736,0.175,0.313,0.313,NA,0.379,506,TRUE,"1 S Atlantic-Scotia","1 collect data and load into the global model","collect data and load into the global model (L3)","directed: model uncertainty",FALSE,FALSE
