"station","zone","lon","lat","depth_m","DInorm_env"
"AS1","shelf (<= 200 m)",-43.1363,-23.7158,125,0.293
"AS2","shelf (<= 200 m)",-40.9116,-22.7532,91,0.911
"AS3","shelf (<= 200 m)",-45.7874,-24.1404,44,0.366
"AS4","shelf (<= 200 m)",-45.4753,-24.9004,87,0.188
"AS5","shelf (<= 200 m)",-43.7484,-23.2884,58,0.253
"AS6","shelf (<= 200 m)",-46.747,-26.57,190,0.25
"AS7","shelf (<= 200 m)",-44.4283,-24.322,154,0.265
"AS8","shelf (<= 200 m)",-47.7315,-26.6087,74,0.373
"AS9","shelf (<= 200 m)",-43.9378,-24.0485,130,0.203
"AS10","shelf (<= 200 m)",-45.6767,-25.5137,150,0.342
"AL1","slope (200-1000 m)",-45.9221,-26.3611,560,0.666
"AL2","slope (200-1000 m)",-42.2103,-23.9184,831,0.564
"AL3","slope (200-1000 m)",-46.6537,-27.0586,337,0.357
"AL4","slope (200-1000 m)",-44.8017,-25.0816,246,0.642
"AL5","slope (200-1000 m)",-46.4416,-26.2304,210,0.361
"AL6","slope (200-1000 m)",-41.0106,-23.3509,863,0.932
"AL7","slope (200-1000 m)",-43.8562,-24.373,534,0.549
"AL8","slope (200-1000 m)",-42.3706,-23.7588,513,0.539
"AL9","slope (200-1000 m)",-47.0951,-28.0093,427,0.8
"AL10","slope (200-1000 m)",-46.907,-27.7232,746,0.51
"AD1","deep (1000-2400 m)",-43.0393,-24.9244,2007,0.32
"AD2","deep (1000-2400 m)",-45.12,-26.0931,1715,0.731
"AD3","deep (1000-2400 m)",-44.4801,-26.0742,2171,0.51
"AD4","deep (1000-2400 m)",-41.1029,-23.5336,1073,0.646
"AD5","deep (1000-2400 m)",-44.2021,-25.7839,2106,0.413
"AD6","deep (1000-2400 m)",-41.9317,-24.0755,1349,0.281
"AD7","deep (1000-2400 m)",-43.6357,-24.7143,1528,0.629
"AD8","deep (1000-2400 m)",-43.1317,-26.6226,2392,0.449
"AD9","deep (1000-2400 m)",-44.442,-25.6767,1992,0.515
"AD10","deep (1000-2400 m)",-41.3672,-23.8828,1268,0.264
