"rank","lon","lat","depth_m","DInorm_initial","DInorm_at_selection","gain_smooth_area","pct_extrapolation_after"
1,-40.4528,-27.3553,3540,4.706,4.706,927.5,17.529
2,-44.8779,-28.0071,3385,3.69,2.602,441.6,16.061
3,-42.3592,-27.8736,2911,2.538,2.419,385.4,9.847
4,-40.4935,-25.2837,3177,3.03,2.331,314.1,6.925
5,-40.8003,-26.6991,2767,1.999,1.617,199.7,2.989
6,-40.7214,-23.2351,1871,1.608,1.608,182.2,2.458
7,-40.533,-24.1853,2876,1.893,1.452,139,1.859
8,-45.5081,-27.916,2885,1.826,1.417,123.2,0.572
9,-43.7072,-27.2429,2727,1.502,1.221,96.23,0.227
10,-40.524,-27.5919,3058,3.294,1.206,86.76,0.144
11,-40.6922,-22.9277,866,1.336,1.325,68.74,0.044
12,-41.0074,-25.3346,2715,1.36,1.084,67.06,0.041
13,-40.6381,-23.395,2380,1.208,1.12,65.14,0.028
14,-42.1968,-27.0765,2552,1.158,1.114,56.92,0.023
15,-43.621,-27.6753,3163,3.086,1.158,55.57,0.023
16,-40.4888,-26.4552,3281,3.623,1.159,53.96,0.016
17,-40.639,-22.764,317,1.245,1.171,41.4,0.012
18,-48.3547,-27.9843,62,1.027,1.027,38.51,0.012
19,-40.7632,-23.146,1347,1.048,0.995,31.62,0.011
20,-46.5222,-27.7641,1570,1.083,1.083,29.69,0.006
