"metric","value","description"
"check_correlation_env_DInorm",1,"reproduced vs santos_aoa_consensus.csv, Camp 2"
"check_max_abs_error",7.11e-15,""
"pct_extrapolation_camp2_start",18.69,"mean DI/threshold > 1.2, Camp 2 grid"
"pct_extrapolation_after_B",0.01,"20 ranked sites"
"pct_extrapolation_after_random",1.16,"mean of 20 random sets"
"n_layerA_stations",30,"random stations within the stratified design"
"n_layerB_sites",20,"ranked sites"
"min_separation_layerA_km",20,"T4c: environmental change between surveys equals ~20 km"
"T4b_gain_new_stations_same_survey",0.033,""
"T4b_gain_same_stations_other_survey",0.077,""
"T4b_gain_new_stations_other_survey",0.083,""
