"station","lon","lat","depth_m","campaign","survey","set","ignorance","bio_DI_over_threshold","bio_models_inside_AOA"
"CAMPANHA02_SANSED09_Outono_A_A01",-48.53,-26.82,25,2,"2021 (Survey 2)","train",0.613182023955248,0.562749540780716,12
"CAMPANHA01_SANSED06_Primavera_A_A01",-48.53,-26.82,25,1,"2019 (Survey 1)","test",0.436283673391478,0.931702974399481,10
"CAMPANHA02_SANSED09_Outono_A_A02",-48.24,-26.89,50,2,"2021 (Survey 2)","train",0.304914681286986,0.725698841400259,12
"CAMPANHA01_SANSED06_Primavera_A_A02",-48.24,-26.89,50,1,"2019 (Survey 1)","train",0.26307434602566,0.894003131137497,11
"CAMPANHA02_SANSED09_Outono_A_A03",-47.92,-26.97,75,2,"2021 (Survey 2)","train",0.476115280746273,0.745694715366471,12
"CAMPANHA01_SANSED06_Primavera_A_A03",-47.92,-26.97,75,1,"2019 (Survey 1)","train",0.160315210133477,0.773640356692253,12
"CAMPANHA02_SANSED09_Outono_A_A04",-47.73,-27.02,100,2,"2021 (Survey 2)","train",0.362976187843932,0.584284026890219,12
"CAMPANHA01_SANSED06_Primavera_A_A04",-47.73,-27.02,100,1,"2019 (Survey 1)","test",0.242440730990947,0.544858749414688,12
"CAMPANHA02_SANSED09_Outono_A_A05",-47.26,-27.14,150,2,"2021 (Survey 2)","train",0.540673907033025,0.558746768651093,12
"CAMPANHA01_SANSED06_Primavera_A_A05",-47.26,-27.14,150,1,"2019 (Survey 1)","train",0.52893132518847,0.92421508703197,8
"CAMPANHA01_SANSED01_Inverno_A_A06",-46.95,-27.21,400,1,"2019 (Survey 1)","train",0.338999805424498,0.431720331170794,12
"CAMPANHA02_SANSED07_Verao_A_A06",-46.95,-27.21,400,2,"2021 (Survey 2)","train",0.681304721507712,0.442691430524126,12
"CAMPANHA01_SANSED01_Inverno_A_A07",-46.76,-27.26,700,1,"2019 (Survey 1)","train",0.735992736648558,0.476182930548798,12
"CAMPANHA02_SANSED07_Verao_A_A07",-46.76,-27.26,700,2,"2021 (Survey 2)","train",0.36709823198739,0.534534196030788,12
"CAMPANHA01_SANSED01_Inverno_A_A08",-46.6233333333333,-27.3,1000,1,"2019 (Survey 1)","train",0.416495124422213,0.339239679132733,12
